Date,Language,Title,Quote,Reflection Text,Reference
2025-01-11,english,THE 100% STEP,"Only Step One, where we made the 100 percent admission we were powerless over alcohol, can be practiced with absolute perfection.","Long before I was able to obtain sobriety in A.A., I knew without a doubt that alcohol was killing me, yet even with this knowledge, I was unable to stop drinking. So, when faced with Step One, I found it easy to admit that I lacked the power to not drink. But was my life unmanageable? Never! Five months after coming into A.A., I was drinking again and wondered why.","TWELVE STEPS AND TWELVE TRADITIONS, p. 68"
2025-01-12,english,ACCEPTING OUR PRESENT CIRCUMSTANCES,"Our very first problem is to accept our present circumstances as they are, ourselves as we are, and the people about us as they are. This is to adopt a realistic humility without which no genuine advance can even begin. Again and again, we shall need to return to that unflattering point of departure. This is an exercise in acceptance that we can profitably practice every day of our lives.","When I am having a difficult time accepting people, places or events, I turn to this passage and it relieves me of many an underlying fear regarding others, or situations life presents me. The thought allows me to be human and not perfect, and to regain my peace of mind.","Provided we strenuously avoid turning these realistic surveys of the facts of life into unrealistic alibis for apathy or defeatism, they can be the sure foundation upon which increased emotional health and therefore spiritual progress can be built."
2025-01-13,english,IT DOESN'T HAPPEN OVERNIGHT,We are not cured of alcoholism. What we really have is a daily reprieve contingent on the maintenance of our spiritual condition.,"The most common alcoholic fantasy seems to be: ""If I just don't drink, everything will be all right."" Once the fog cleared for me, I saw—for the first time—the mess my life had become. I had family, work, financial and legal problems; I was hung up on old religious ideas; there were sides of my character to which I was inclined to stay blind because they easily could have convinced me that I was hopeless and pushed me toward escape again. The Big Book guided me in resolving all of my problems. But it didn't happen overnight—and certainly not automatically—with no effort on my part. I need always to recognize God's mercy and blessings that shine through any problem I have to face.","ALCOHOLICS ANONYMOUS, p. 85"
2025-01-14,english,NO REGRETS,We will not regret the past nor wish to shut the door on it.,"Once I became sober, I began to see how wasteful my life had been and I experienced overwhelming guilt and feelings of regret. The program's Fourth and Fifth Steps assisted me enormously in healing those troubling regrets. I learned that my self-centeredness and dishonesty stemmed largely from my drinking and that I drank because I was an alcoholic. Now I see how even my most distasteful past experiences can turn to gold because, as a sober alcoholic, I can share them to help my fellow alcoholics, particularly newcomers. Sober for several years in A.A., I no longer regret the past; I am simply grateful to be conscious of God's love and of the help I can give to others in the Fellowship.","ALCOHOLICS ANONYMOUS, p. 83"
2025-01-15,english,AN UNSUSPECTED INNER RESOURCE,With few exceptions our members find that they have tapped an unsuspected inner resource which they presently identify with their own conception of a Power greater than themselves.,"From my first days in A.A., as I struggled for sobriety, I found hope in these words from our founders. I often pondered the phrase: ""they have tapped an unsuspected inner resource."" How, I asked myself, can I find the Power within myself, since I am so powerless? In time, as the founders promised, it came to me: I have always had the choice between goodness and evil, between unselfishness and selfishness, between serenity and fear. That Power greater than myself is an original gift that I did not recognize until I achieved daily sobriety through living A.A.'s Twelve Steps.","ALCOHOLICS ANONYMOUS, pp. 567-68"
2025-01-16,english,HITTING BOTTOM,Why all this insistence that every A.A. must hit bottom first? The answer is that few people will sincerely try to practice the A.A. program unless they have hit bottom. For practicing A.A.'s remaining eleven Steps means the adoption of attitudes and actions that almost no alcoholic who is still drinking can dream of taking.,"Hitting bottom opened my mind and I became willing to try something different. What I tried was A.A. My new life in the Fellowship was a little like learning how to ride a bike for the first time: A.A. became my training wheels and my supporting hand. It's not that I wanted the help so much at the time; I simply did not want to hurt like that again. My desire to avoid hitting bottom again was more powerful than my desire to drink. In the beginning that was what kept me sober. But after a while I found myself working the Steps to the best of my ability. I soon realized that my attitudes and actions were changing—if ever so slightly. One Day at a Time, I became comfortable with myself, and others, and my hurting started to heal. Thank God for the training wheels and supporting hand that I choose to call Alcoholics Anonymous.","TWELVE STEPS AND TWELVE TRADITIONS, p, 24"
2025-01-17,english,HAPPINESS COMES QUIETLY,"""The trouble with us alcoholics was this: We demanded that the world give us happiness and peace of mind in just the particular order we wanted to get it-by the alcohol route. And we weren't successful. But when we take time to find out some of the spiritual laws, and familiarize ourselves with them, and put them into practice, then we do get happiness and peace of mind. . . . There seem to be some rules that we have to follow, but happiness and peace of mind are always here, open and free to anyone.""","The simplicity of the A.A. program teaches me that happiness isn't something I can ""demand."" It comes upon me quietly, while I serve others. In offering my hand to the newcomer or to someone who has relapsed, I find that my own sobriety has been recharged with indescribable gratitude and happiness.","DR. BOB AND THE GOOD OLDTIMERS, p. 308"
2025-01-18,english,WOULD A DRINK HELP?,"By going back in our own drinking histories, we could show that years before we realized it we were out of control, that our drinking even then was no mere habit, that it was indeed the beginning of a fatal progression.","When I was still drinking, I couldn't respond to any of life's situations the way other, more healthy, people could. The smallest incident triggered a state of mind that believed I had to have a drink to numb my feelings. But the numbing did not improve the situation, so I sought further escape in the bottle. Today I must be aware of my alcoholism. I cannot afford to believe that I have gained control of my drinking — or again I will think I have gained control of my life. Such a feeling of control is fatal to my recovery.","TWELVE STEPS AND TWELVE TRADITIONS, p. 23"
2025-01-19,english,ROUND-THE-CLOCK FAITH,"Faith has to work twenty-four hours a day in and through us, or we perish.","The essence of my spirituality, and my sobriety, rests on a round-the-clock faith in a Higher Power. I need to remember and rely on the God of my understanding as I pursue all of my daily activities. How comforting for me is the concept that God works in and through people. As I pause in my day, do I recall specific concrete examples of God's presence? Am I amazed and uplifted by the number of times this power is evident? I am overwhelmed with gratitude for my God's presence in my life of recovery. Without this omnipotent force in my every activity, I would again fall into the depths of my disease—and death.","ALCOHOLICS ANONYMOUS, p. 16"
2025-01-20,english,"""WE PAUSE . . . AND ASK""","As we go through the day we pause, when agitated or doubtful, and ask for the right thought or action.",Today I humbly ask my Higher Power for the grace to find the space between my impulse and my action; to let flow a cooling breeze when I would respond with heat; to interrupt fierceness with gentle peace; to accept the moment which allows judgment to become discernment; to defer to silence when my tongue would rush to attack or defend.,"ALCOHOLICS ANONYMOUS, p. 87"
2025-01-21,english,SERVING MY BROTHER,The member talks to the newcomer not in a spirit of power but in a spirit of humility and weakness.,"As the days pass in A.A., I ask God to guide my thoughts and the words that I speak. In this labor of continuous participation in the Fellowship, I have numerous opportunities to speak. So I frequently ask God to help me watch over my thoughts and my words, that they may be the true and proper reflections of our program; to focus my aspirations once again to seek His guidance; to help me be truly kind and loving, helpful and healing, yet always filled with humility, and free from any trace of arrogance.","ALCOHOLICS ANONYMOUS COMES OF AGE, p. 279"
2025-01-22,english,"""LET'S KEEP IT SIMPLE""","A few hours later I took my leave of Dr. Bob. . . . The wonderful, old, broad smile was on his face as he said almost jokingly, ""Remember, Bill, let's not louse this thing up. Let's keep it simple!"" I turned away, unable to say a word. That was the last time I ever saw him.","After years of sobriety I occasionally ask myself: ""Can it be this simple?"" Then, at meetings, I see former cynics and skeptics who have walked the A.A. path out of hell by packaging their lives, without alcohol, into twenty-four hour segments, during which they practice a few principles to the best of their individual abilities. And then I know again that, while it isn't always easy, if I keep it simple, it works.","ALCOHOLICS ANONYMOUS COMES OF AGE, p. 214"
2025-01-23,english,HAVING FUN YET?,". . . we aren't a glum lot. If newcomers could see no joy or fun in our existence, they wouldn't want it. We absolutely insist on enjoying life. We try not to indulge in cynicism over the state of the nations, nor do we carry the world's troubles on our shoulders.","When my own house is in order, I find the different parts of my life are more manageable. Stripped from the guilt and remorse that cloaked my drinking years, I am free to assume my proper role in the universe, but this condition requires maintenance. I should stop and ask myself, Am I having fun yet? If I find answering that question difficult or painful, perhaps I'm taking myself too seriously—and finding it difficult to admit that I've strayed from my practice of working the program to keep my house in order. I think the pain I experience is one way my Higher Power has to get my attention, coaxing me to take stock of my performance. The slight time and effort it takes to work the program—a spot-check inventory, for example, or the making of amends, whatever is appropriate — are well worth the effort.","ALCOHOLICS ANONYMOUS, p. 132"
2025-01-24,english,GETTING INVOLVED,"There is action and more action. ""Faith without works is dead."" . . . To be helpful is our only aim.","I understand that service is a vital part of recovery but I often wonder, ""What can I do?"" Simply start with what I have today! I look around to see where there is a need. Are the ashtrays full? Do I have hands and feet to empty them? Suddenly I'm involved! The best speaker may make the worst coffee; the member who's best with newcomers may be unable to read; the one willing to clean up may make a mess of the bank account—yet every one of these people and jobs is essential to an active group. The miracle of service is this: when I use what I have, I find there is more available to me than I realized before.","ALCOHOLICS ANONYMOUS, pp. 88-89"
2025-01-25,english,WHAT WE NEED-EACH OTHER,". . . A.A. is really saying to every serious drinker, ""You are an A.A. member if you say so . . . nobody can keep you out.""","For years, whenever I reflected on Tradition Three (""The only requirement for A.A. membership is a desire to stop drinking""), I thought it valuable only to newcomers. It was their guarantee that no one could bar them from A.A. Today I feel enduring gratitude for the spiritual development the Tradition has brought me. I don't seek out people obviously different from myself. Tradition Three, concentrating on the one way I am similar to others, brought me to know and help every kind of alcoholic, just as they have helped me. Charlotte, the atheist, showed me higher standards of ethics and honor; Clay, of another race, taught me patience; Winslow, who is gay, led me by example into true compassion; Young Megan says that seeing me at meetings, sober thirty years, keeps her coming back. Tradition Three insured that we would get what we need — each other.","TWELVE STEPS AND TWELVE TRADITIONS, p. 139"
2025-01-26,english,RIGOROUS HONESTY,"Who wishes to be rigorously honest and tolerant? Who wants to confess his faults to another and make restitution for harm done? Who cares anything about a Higher Power, let alone meditation and prayer? Who wants to sacrifice time and energy in trying to carry A.A.'s message to the next sufferer? No, the average alcoholic, self-centered in the extreme, doesn't care for this prospect — unless he has to do these things in order to stay alive himself.","I am an alcoholic. If I drink I will die. My, what power, energy, and emotion this simple statement generates in me! But it's really all I need to know for today. Am I willing to stay alive today? Am I willing to stay sober today? Am I willing to ask for help and am I willing to be a help to another suffering alcoholic today? Have I discovered the fatal nature of my situation? What must I do, today, to stay sober?","TWELVE STEPS AND TWELVE TRADITIONS, p. 24"
2025-01-27,english,FREEDOM FROM GUILT,"TWELVE STEPS AND TWELVE TRADITIONS, p. 47","Where other people were concerned, we had to drop the word ""blame"" from our speech and thought.",
2025-01-28,english,THE TREASURE OF THE PAST,"Showing others who suffer how we were given help is the very thing which makes life seem so worth while to us now. Cling to the thought that, in God's hands, the dark past is the greatest possession you have—the key to life and happiness for others. With it you can avert death and misery for them.","What a gift it is for me to realize that all those seemingly useless years were not wasted. The most degrading and humiliating experiences turn out to be the most powerful tools in helping others to recover. In knowing the depths of shame and despair, I can reach out with a loving and compassionate hand, and know that the grace of God is available to me.","ALCOHOLICS ANONYMOUS, p. 124"
2025-01-29,english,THE JOY OF SHARING,"Life will take on new meaning. To watch people recover, to see them help others, to watch loneliness vanish, to see a fellowship grow up about you, to have a host of friends—this is an experience you must not miss. We know you will not want to miss it. Frequent contact with newcomers and with each other is the bright spot of our lives.","To know that each newcomer with whom I share has the opportunity to experience the relief that I have found in this Fellowship fills me with joy and gratitude. I feel that all the things described in A.A. will come to pass for them, as they have for me, if they seize the opportunity and embrace the program fully.","ALCOHOLICS ANONYMOUS, p. 89"
2025-01-30,english,FREEDOM FROM . . . FREEDOM TO,We are going to know a new freedom. . . .,"Freedom for me is both freedom from and freedom to. The first freedom I enjoy is freedom from the slavery of alcohol. What a relief! Then I begin to experience freedom from fear—fear of people, of economic insecurity, of commitment, of failure, of rejection. Then I begin to enjoy freedom to—freedom to choose sobriety for today, freedom to be myself, freedom to express my opinion, to experience peace of mind, to love and be loved, and freedom to grow spiritually. But how can I achieve these freedoms? The Big Book clearly says that before I am halfway through making amends, I will begin to know a ""new"" freedom; not the old freedom of doing what I pleased, without regard to others, but the new freedom that allows fulfillment of the promises in my life. What a joy to be free!","ALCOHOLICS ANONYMOUS, p. 83"
2025-01-31,english,OUR COMMON WELFARE COMES FIRST,"The unity of Alcoholics Anonymous is the most cherished quality our Society has. . . . We stay whole, or A.A. dies.","Our Traditions are key elements in the ego deflation process necessary to achieve and maintain sobriety in Alcoholics Anonymous. The First Tradition reminds me not to take credit, or authority, for my recovery. Placing our common welfare first reminds me not to become a healer in this program; I am still one of the patients. Self-effacing elders built the ward. Without it, I doubt I would be alive. Without the group, few alcoholics would recover.","TWELVE STEPS AND TWELVE TRADITIONS, p. 129"
2025-02-01,english,GOAL: SANITY,""". . . Step Two gently and very gradually began to infiltrate my life. I can't say upon what occasion or upon what day I came to believe in a Power greater than myself, but I certainly have that belief now.""","""Came to believe!"" I gave lip service to my belief when I felt like it or when I thought it would look good. I didn't really trust God. I didn't believe He cared for me. I kept trying to change things I couldn't change. Gradually, in disgust, I began to turn it all over, saying: ""You're so omnipotent, you take care of it."" He did. I began to receive answers to my deepest problems, sometimes at the most unusual times: driving to work, eating lunch, or when I was sound asleep. I realized that I hadn't thought of those solutions—a Power greater than myself had given them to me. I came to believe.","TWELVE STEPS AND TWELVE TRADITIONS, p. 27"
2025-02-02,english,RESCUED BY SURRENDERING,"Characteristic of the so-called typical alcoholic is a narcissistic egocentric core, dominated by feelings of omnipotence, intent on maintaining at all costs its inner integrity. . . . Inwardly the alcoholic brooks no control from man or God. He, the alcoholic, is and must be the master of his destiny. He will fight to the end to preserve that position.","The great mystery is: ""Why do some of us die alcoholic deaths, fighting to preserve the 'independence' of our ego, while others seem to sober up effortlessly in A.A.?"" Help from a Higher Power, the gift of sobriety, came to me when an otherwise unexplained desire to stop drinking coincided with my willingness to accept the suggestions of the men and women of A.A. I had to surrender, for only by reaching out to God and my fellows could I be rescued.","A.A. COMES OF AGE, p. 311"
2025-02-03,english,FILLING THE VOID,"We needed to ask ourselves but one short question. ""Do I now believe, or am I even willing to believe, that there is a Power greater than myself?"" As soon as a man can say that he does believe, or is willing to believe, we emphatically assure him that he is on his way.","I was always fascinated with the study of scientific principles. I was emotionally and physically distant from people while I pursued Absolute Knowledge. God and spirituality were meaningless academic exercises. I was a modern man of science, knowledge was my Higher Power. Given the right set of equations, life was merely another problem to solve. Yet my inner self was dying from my outer man's solution to life's problems and the solution was alcohol. In spite of my intelligence, alcohol became my Higher Power. It was through the unconditional love which emanated from A.A. people and meetings that I was able to discard alcohol as my Higher Power. The great void was filled. I was no longer lonely and apart from life. I had found a true power greater than myself, I had found God's love. There is only one equation which really matters to me now: God is in A.A.","ALCOHOLICS ANONYMOUS, p. 47"
2025-02-04,english,WHEN FAITH IS MISSING,"Sometimes A.A. comes harder to those who have lost or rejected faith than to those who never had any faith at all, for they think they have tried faith and found it wanting. They have tried the way of faith and the way of no faith.","I was so sure God had failed me that I became ultimately defiant, though I knew better, and plunged into a final drinking binge. My faith turned bitter and that was no coincidence. Those who once had great faith hit bottom harder. It took time to rekindle my faith, though I came to A.A. I was grateful intellectually to have survived such a great fall, but my heart felt callous. Still, I stuck with the A.A. program; the alternatives were too bleak! I kept coming back and gradually my faith was resurrected.","TWELVE STEPS AND TWELVE TRADITIONS, p. 28"
2025-02-05,english,A GLORIOUS RELEASE,"""The minute I stopped arguing, I could begin to see and feel. Right there, Step Two gently and very gradually began to infiltrate my life. I can't say upon what occasion or upon what day I came to believe in a Power greater than myself, but I certainly have that belief now. To acquire it, I had only to stop fighting and practice the rest of A.A.'s program as enthusiastically as I could.""","After years of indulging in a ""self-will run riot,"" Step Two became for me a glorious release from being all alone. Nothing is so painful or insurmountable in my journey now. Someone is always there to share life's burdens with me. Step Two became a reinforcement with God, and I now realize that my insanity and ego were curiously linked. To rid myself of the former, I must give up the latter to one with far broader shoulders than my own.","TWELVE STEPS AND TWELVE TRADITIONS, p. 27"
2025-02-06,english,A RALLYING POINT,"Therefore, Step Two is the rallying point for all of us. Whether agnostic, atheist, or former believer, we can stand together on this Step.","I feel that A.A. is a God-inspired program and that God is at every A.A. meeting. I see, believe, and have come to know that A.A. works, because I have stayed sober today. I am turning my life over to A.A. and to God by going to an A.A. meeting. If God is in my heart and everyone else's, then I am a small part of a whole and I am not unique. If God is in my heart and He speaks to me through other people, then I must be a channel of God to other people. I should seek to do His will by living spiritual principles and my reward will be sanity and emotional sobriety.","TWELVE STEPS AND TWELVE TRADITIONS, p. 33"
2025-02-07,english,A PATH TO FAITH,"True humility and an open mind can lead us to faith, and every A.A. meeting is an assurance that God will restore us to sanity if we rightly relate ourselves to Him.","My last drunk had landed me in the hospital, totally broken. It was then that I was able to see my past float in front of me. I realized that, through drinking, I had lived every nightmare I had ever had. My own self-will and obsession to drink had driven me into a dark pit of hallucinations, blackouts and despair. Finally beaten, I asked for God's help. His presence told me to believe. My obsession for alcohol was taken away and my paranoia has since been lifted. I am no longer afraid. I know my life is healthy and sane.","TWELVE STEPS AND TWELVE TRADITIONS, p. 33"
2025-02-08,english,"CONVINCING ""MR. HYDE""","Even then, as we hew away, peace and joy may still elude us. That's the place so many of us A.A. oldsters have come to. And it's a hell of a spot, literally. How shall our unconscious—from which so many of our fears, compulsions, and phony aspirations still stream—be brought into line with what we actually believe, know, and want! How to convince our dumb, raging, and hidden ""Mr. Hyde"" becomes our main task.","Regular attendance at meetings, serving and helping others is the recipe that many have tried and found to be successful. Whenever I stray from these basic principles, my old habits resurface and my old self also comes back with all its fears and defects. The ultimate goal of each A.A. member is permanent sobriety, achieved One Day at a Time.","THE LANGUAGE OF THE HEART, p. 237"
2025-02-09,english,"GETTING THE ""SPIRITUAL ANGLE""","How often do we sit in AA meetings and hear the speaker declare, ""But I haven't yet got the spiritual angle."" Prior to this statement, he had described a miracle of transformation which had occurred in him—not only his release from alcohol, but a complete change in his whole attitude toward life and the living of it. It is apparent to nearly everyone else present that he has received a great gift; "". . . except that he doesn't seem to know it yet!"" We well know that this questioning individual will tell us six months or a year hence that he has found faith in God.","A spiritual experience can be the realization that a life which once seemed empty and devoid of meaning is now joyous and full. In my life today, daily prayer and meditation, coupled with living the Twelve Steps, has brought about an inner peace and feeling of belonging which was missing when I was drinking.","THE LANGUAGE OF THE HEART, p. 275"
2025-02-10,english,I DON'T RUN THE SHOW,"When we became alcoholics, crushed by a self-imposed crisis we could not postpone or evade, we had to fearlessly face the proposition that either God is everything or else He is nothing. God either is, or He isn't. What was our choice to be?","Today my choice is God. He is everything. For this I am truly grateful. When I think I am running the show I am blocking God from my life. I pray I can remember this when I allow myself to get caught up into self. The most important thing is that today I am willing to grow along spiritual lines, and that God is everything. When I was trying to quit drinking on my own, it never worked; with God and A.A., it is working. This seems to be a simple thought for a complicated alcoholic.","ALCOHOLICS ANONYMOUS, p. 53"
2025-02-11,english,THE LIMITS OF SELF-RELIANCE,We asked ourselves why we had them [fears]. Wasn't it because self-reliance failed us?,"All of my character defects separate me from God's will. When I ignore my association with Him I face the world and my alcoholism alone and must depend on self-reliance. I have never found security and happiness through self-will and the only result is a life of fear and discontent. God provides the path back to Him and to His gift of serenity and comfort. First, however, I must be willing to acknowledge my fears and understand their source and power over me. I frequently ask God to help me understand how I separate myself from Him.","ALCOHOLICS ANONYMOUS, p. 68"
2025-02-12,english,"""THE ROOT OF OUR TROUBLES""","Selfishness — self-centeredness! That, we think, is the root of our troubles.","How amazing the revelation that the world, and everyone in it, can get along just fine with or without me. What a relief to know that people, places and things will be perfectly okay without my control and direction. And how wordlessly wonderful to come to believe that a power greater than me exists separate and apart from myself. I believe that the feeling of separation I experience between me and God will one day vanish. In the meantime, faith must serve as the pathway to the center of my life.","ALCOHOLICS ANONYMOUS, p. 62"
2025-02-13,english,WE CAN'T THINK OUR WAY SOBER,"To the intellectually self-sufficient man or woman, many A.A.'s can say, ""Yes, we were like you — far too smart for our own good. . . . Secretly, we felt we could float above the rest of the folks on our brain power alone.""","Even the most brilliant mind is no defense against the disease of alcoholism. I can't think my way sober. I try to remember that intelligence is a Godgiven attribute that I may use, a joy—like having a talent for dancing or drawing or carpentry. It does not make me better than anyone else, and it is not a particularly reliable tool for recovery, for it is a power greater than myself who will restore me to sanity—not a high IQ or a college degree.","AS BILL SEES IT, p. 60"
2025-02-14,english,EXPECTATIONS vs. DEMANDS,Burn the idea into the consciousness of every man that he can get well regardless of anyone. The only condition is that he trust in God and clean house.,"Dealing with expectations is a frequent topic at meetings. It isn't wrong to expect progress of myself, good things from life, or decent treatment from others. Where I get into trouble is when my expectations become demands. I will fall short of what I wish to be and situations will go in ways I do not like, because people will let me down sometimes. The only question is: ""What am I going to do about it?"" Wallow in self-pity or anger; retaliate and make a bad situation worse; or will I trust in God's power to bring blessings on the messes in which I find myself? Will I ask Him what I should be learning; do I keep on doing the right things I know how to do, no matter what; do I take time to share my faith and blessings with others?","ALCOHOLICS ANONYMOUS, p. 98"
2025-02-15,english,TAKING ACTION,"Are these extravagant promises? We think not. They are being fulfilled among us — sometimes quickly, sometimes slowly. They will always materialize if we work for them.","One of the most important things A.A. has given me, in addition to freedom from booze, is the ability to take ""right action."" It says the promises will always materialize if I work for them. Fantasizing about them, debating them, preaching about them and faking them just won't work. I'll remain a miserable, rationalizing dry drunk. By taking action and working the Twelve Steps in all my affairs, I'll have a life beyond my wildest dreams.","ALCOHOLICS ANONYMOUS, p, 84"
2025-02-16,english,COMMITMENT,"Understanding is the key to right principles and attitudes, and right action is the key to good living.","There came a time in my program of recovery when the third stanza of the Serenity Prayer — ""The wisdom to know the difference"" — became indelibly imprinted in my mind. From that time on, I had to face the ever-present knowledge that my every action, word and thought was within, or outside, the principles of the program. I could no longer hide behind self-rationalization, nor behind the insanity of my disease. The only course open to me, if I was to attain a joyous life for myself (and subsequently for those I love), was one in which I imposed on myself an effort of commitment, discipline, and responsibility.","TWELVE STEPS AND TWELVE TRADITIONS, p. 125"
2025-02-17,english,THE LOVE IN THEIR EYES,"Some of us won't believe in God, others can't, and still others who do believe that God exists have no faith whatever He will perform this miracle.","It was the changes I saw in the new people who came into the Fellowship that helped me lose my fear, and change my negative attitude to a positive one. I could see the love in their eyes and I was impressed by how much their ""One Day at a Time"" sobriety meant to them. They had looked squarely at Step Two and came to believe that a power greater than themselves was restoring them to sanity. That gave me faith in the Fellowship, and hope that it could work for me too. I found that God was a loving God, not that punishing God I feared before coming to A.A. I also found that He had been with me during all those times I had been in trouble before I came to A.A. I know today that He was the one who led me to A.A. and that I am a miracle.","TWELVE STEPS AND TWELVE TRADITIONS, p. 25"
