Date,Language,Title,Quote,Reflection Text,Reference
2025-01-17,pt-BR,A FELICIDADE VEM SILENCIOSAMENTE,"'O problema conosco, alcoólicos, era este: exigíamos que o mundo nos desse felicidade e paz de espírito exatamente na ordem que queríamos obtê-las - pela via do álcool. E não tivemos sucesso. Mas quando tiramos um tempo para descobrir algumas das leis espirituais, nos familiarizamos com elas e as colocamos em prática, então conseguimos felicidade e paz de espírito... Parece haver algumas regras que temos que seguir, mas a felicidade e a paz de espírito estão sempre aqui, abertas e gratuitas para qualquer um.'","A simplicidade do programa de A.A. me ensina que a felicidade não é algo que eu possa 'exigir'. Ela vem a mim silenciosamente, enquanto sirvo aos outros. Ao oferecer minha mão ao recém-chegado ou a alguém que recaiu, descubro que minha própria sobriedade foi recarregada com uma gratidão e felicidade indescritíveis.","DR. BOB E OS BONS VETERANOS, p. 308"
2025-01-18,pt-BR,UM GOLE AJUDARIA?,"Voltando em nossas próprias histórias de bebida, poderíamos mostrar que anos antes de percebermos, estávamos fora de controle, que nossa bebida mesmo então não era um mero hábito, que era de fato o começo de uma progressão fatal.","Quando eu ainda bebia, não conseguia responder a nenhuma das situações da vida da mesma forma que outras pessoas mais saudáveis. O menor incidente desencadeava um estado de espírito que acreditava que eu precisava de uma bebida para anestesiar meus sentimentos. Mas o entorpecimento não melhorava a situação, então eu buscava mais fuga na garrafa. Hoje eu devo estar ciente do meu alcoolismo. Não posso me dar ao luxo de acreditar que ganhei o controle da minha bebida — ou novamente pensarei que ganhei o controle da minha vida. Tal sentimento de controle é fatal para a minha recuperação.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 23"
2025-01-19,pt-BR,FÉ ININTERRUPTA,"A fé tem que funcionar vinte e quatro horas por dia em nós e através de nós, ou pereceremos.","A essência da minha espiritualidade e da minha sobriedade repousa numa fé ininterrupta num Poder Superior. Preciso me lembrar e confiar no Deus da minha compreensão enquanto realizo todas as minhas atividades diárias. Como é reconfortante para mim o conceito de que Deus opera em e através das pessoas. Ao fazer uma pausa no meu dia, lembro-me de exemplos concretos e específicos da presença de Deus? Fico maravilhado e elevado pelo número de vezes que este poder é evidente? Sinto-me inundado de gratidão pela presença do meu Deus na minha vida de recuperação. Sem esta força onipotente em cada atividade minha, eu cairia novamente nas profundezas da minha doença — e na morte.","ALCOÓLICOS ANÔNIMOS, p. 16"
2025-01-20,pt-BR,'FAZEMOS UMA PAUSA... E PEDIMOS',"Ao longo do dia, fazemos uma pausa, quando agitados ou em dúvida, e pedimos o pensamento ou a ação correta.",Hoje eu peço humildemente ao meu Poder Superior a graça de encontrar o espaço entre o meu impulso e a minha ação; de deixar fluir uma brisa refrescante quando eu responderia com calor; de interromper a ferocidade com uma paz gentil; de aceitar o momento que permite que o julgamento se torne discernimento; de ceder ao silêncio quando minha língua correria para atacar ou defender.,"ALCOÓLICOS ANÔNIMOS, p. 87"
2025-01-21,pt-BR,SERVINDO AO MEU IRMÃO,"O membro fala ao recém-chegado não com um espírito de poder, mas com um espírito de humildade e fraqueza.","À medida que os dias passam em A.A., peço a Deus que guie meus pensamentos e as palavras que falo. Neste trabalho de participação contínua na Irmandade, tenho inúmeras oportunidades de falar. Por isso, frequentemente peço a Deus que me ajude a vigiar meus pensamentos e minhas palavras, para que sejam reflexos verdadeiros e adequados do nosso programa; para focar novamente minhas aspirações em buscar Sua orientação; para me ajudar a ser verdadeiramente gentil e amoroso, prestativo e curador, mas sempre cheio de humildade e livre de qualquer traço de arrogância.","A.A. ATINGE A MAIORIDADE, p. 279"
2025-01-22,pt-BR,'VAMOS MANTER A SIMPLICIDADE',"Algumas horas depois, despedi-me do Dr. Bob... O sorriso maravilhoso, antigo e largo estava em seu rosto enquanto ele dizia quase brincando: 'Lembre-se, Bill, não vamos estragar tudo. Vamos manter a simplicidade!' Virei-me, incapaz de dizer uma palavra. Essa foi a última vez que o vi.","Após anos de sobriedade, ocasionalmente me pergunto: 'Pode ser tão simples assim?' Então, nas reuniões, vejo ex-cínicos e céticos que trilharam o caminho de A.A. para sair do inferno, empacotando suas vidas, sem álcool, em segmentos de vinte e quatro horas, durante os quais praticam alguns princípios da melhor maneira possível. E então eu sei novamente que, embora nem sempre seja fácil, se eu mantiver a simplicidade, funciona.","A.A. ATINGE A MAIORIDADE, p. 214"
2025-01-23,pt-BR,JÁ ESTÁ SE DIVERTINDO?,"... não somos um bando de gente triste. Se os recém-chegados não vissem alegria ou diversão em nossa existência, não a desejariam. Insistimos absolutamente em aproveitar a vida. Tentamos não nos entregar ao cinismo sobre o estado das nações, nem carregamos os problemas do mundo em nossos ombros.","Quando minha própria casa está em ordem, descubro que as diferentes partes da minha vida são mais administráveis. Despido da culpa e do remorso que encobriam meus anos de bebedeira, sou livre para assumir meu papel adequado no universo, mas essa condição requer manutenção. Eu deveria parar e me perguntar: já estou me divertindo? Se acho difícil ou doloroso responder a essa pergunta, talvez eu esteja me levando muito a sério — e achando difícil admitir que me desviei da minha prática de trabalhar o programa para manter minha casa em ordem. Acho que a dor que sinto é uma maneira que meu Poder Superior tem de chamar minha atenção, me persuadindo a fazer um balanço do meu desempenho. O pouco tempo e esforço que leva para trabalhar o programa — um inventário rápido, por exemplo, ou fazer reparações, o que for apropriado — valem bem o esforço.","ALCOÓLICOS ANÔNIMOS, p. 132"
2025-01-24,pt-BR,ENGAJANDO-SE,Há ação e mais ação. 'A fé sem obras é morta.' ... Ser útil é nosso único objetivo.,"Entendo que o serviço é uma parte vital da recuperação, mas muitas vezes me pergunto: 'O que posso fazer?' Simplesmente comece com o que tenho hoje! Olho ao redor para ver onde há uma necessidade. Os cinzeiros estão cheios? Tenho mãos e pés para esvaziá-los? De repente, estou envolvido! O melhor orador pode fazer o pior café; o membro que é melhor com os recém-chegados pode não saber ler; aquele disposto a limpar pode fazer uma bagunça na conta bancária — ainda assim, cada uma dessas pessoas e tarefas é essencial para um grupo ativo. O milagre do serviço é este: quando uso o que tenho, descubro que há mais disponível para mim do que eu imaginava antes.","ALCOÓLICOS ANÔNIMOS, pp. 88-89"
2025-01-25,pt-BR,O QUE PRECISAMOS - UNS DOS OUTROS,... A.A. está realmente dizendo a todo bebedor sério: 'Você é um membro de A.A. se você disser que é... ninguém pode te manter fora.',"Durante anos, sempre que refletia sobre a Terceira Tradição ('O único requisito para ser membro de A.A. é o desejo de parar de beber'), achava que ela só era valiosa para os recém-chegados. Era a garantia deles de que ninguém poderia impedi-los de entrar em A.A. Hoje sinto uma gratidão duradoura pelo desenvolvimento espiritual que a Tradição me trouxe. Eu não procuro pessoas obviamente diferentes de mim. A Terceira Tradição, concentrando-se na única maneira pela qual sou semelhante aos outros, me levou a conhecer e ajudar todo tipo de alcoólico, assim como eles me ajudaram. Charlotte, a ateia, me mostrou padrões mais elevados de ética e honra; Clay, de outra raça, me ensinou paciência; Winslow, que é gay, me guiou pelo exemplo à verdadeira compaixão; a jovem Megan diz que me ver nas reuniões, sóbrio há trinta anos, a faz continuar voltando. A Terceira Tradição garantiu que receberíamos o que precisamos — uns aos outros.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 139"
2025-01-26,pt-BR,HONESTIDADE RIGOROSA,"Quem deseja ser rigorosamente honesto e tolerante? Quem quer confessar suas falhas a outro e fazer reparações pelos danos causados? Quem se importa com um Poder Superior, quanto mais com meditação e oração? Quem quer sacrificar tempo e energia tentando levar a mensagem de A.A. ao próximo sofredor? Não, o alcoólico médio, extremamente egocêntrico, não se importa com essa perspectiva — a menos que tenha que fazer essas coisas para se manter vivo.","Eu sou um alcoólico. Se eu beber, morrerei. Nossa, que poder, energia e emoção esta simples declaração gera em mim! Mas é realmente tudo que preciso saber por hoje. Estou disposto a permanecer vivo hoje? Estou disposto a permanecer sóbrio hoje? Estou disposto a pedir ajuda e estou disposto a ajudar outro alcoólico sofredor hoje? Descobri a natureza fatal da minha situação? O que devo fazer, hoje, para permanecer sóbrio?","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 24"
2025-01-27,pt-BR,LIBERDADE DA CULPA,"OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 47","No que diz respeito a outras pessoas, tivemos que abandonar a palavra 'culpa' de nosso discurso e pensamento.",
2025-01-28,pt-BR,O TESOURO DO PASSADO,"Mostrar aos outros que sofrem como recebemos ajuda é a própria coisa que faz a vida parecer tão valiosa para nós agora. Apegue-se ao pensamento de que, nas mãos de Deus, o passado sombrio é a maior posse que você tem — a chave para a vida e a felicidade dos outros. Com ela, você pode evitar a morte e a miséria para eles.","Que presente é para mim perceber que todos aqueles anos aparentemente inúteis não foram desperdiçados. As experiências mais degradantes e humilhantes acabam sendo as ferramentas mais poderosas para ajudar os outros a se recuperarem. Conhecendo as profundezas da vergonha e do desespero, posso estender uma mão amorosa e compassiva, e saber que a graça de Deus está disponível para mim.","ALCOÓLICOS ANÔNIMOS, p. 124"
2025-01-29,pt-BR,A ALEGRIA DE PARTILHAR,"A vida assumirá um novo significado. Ver as pessoas se recuperarem, vê-las ajudar os outros, ver a solidão desaparecer, ver uma irmandade crescer ao seu redor, ter uma multidão de amigos — esta é uma experiência que você não deve perder. Sabemos que você não vai querer perdê-la. O contato frequente com os recém-chegados e uns com os outros é o ponto alto de nossas vidas.","Saber que cada recém-chegado com quem partilho tem a oportunidade de experimentar o alívio que encontrei nesta Irmandade enche-me de alegria e gratidão. Sinto que todas as coisas descritas em A.A. acontecerão para eles, como aconteceram para mim, se aproveitarem a oportunidade e abraçarem o programa plenamente.","ALCOÓLICOS ANÔNIMOS, p. 89"
2025-01-30,pt-BR,LIBERDADE DE... LIBERDADE PARA...,Vamos conhecer uma nova liberdade. . . .,"Liberdade para mim é tanto liberdade 'de' quanto liberdade 'para'. A primeira liberdade que desfruto é a liberdade da escravidão do álcool. Que alívio! Então começo a experimentar a liberdade do medo — medo das pessoas, da insegurança econômica, do compromisso, do fracasso, da rejeição. Então começo a desfrutar da liberdade para — liberdade de escolher a sobriedade por hoje, liberdade de ser eu mesmo, liberdade de expressar minha opinião, de experimentar a paz de espírito, de amar e ser amado, e liberdade de crescer espiritualmente. Mas como posso alcançar essas liberdades? O Grande Livro diz claramente que antes de eu estar na metade do caminho fazendo reparações, começarei a conhecer uma 'nova' liberdade; não a velha liberdade de fazer o que eu quisesse, sem consideração pelos outros, mas a nova liberdade que permite a realização das promessas em minha vida. Que alegria ser livre!","ALCOÓLICOS ANÔNIMOS, p. 83"
2025-01-31,pt-BR,NOSSO BEM-ESTAR COMUM VEM PRIMEIRO,"A unidade de Alcoólicos Anônimos é a qualidade mais estimada que nossa Sociedade possui... Nós permanecemos inteiros, ou A.A. morre.","Nossas Tradições são elementos-chave no processo de deflação do ego, necessário para alcançar e manter a sobriedade em Alcoólicos Anônimos. A Primeira Tradição me lembra de não levar o crédito, ou a autoridade, pela minha recuperação. Colocar nosso bem-estar comum em primeiro lugar me lembra de não me tornar um curador neste programa; ainda sou um dos pacientes. Anciãos abnegados construíram a enfermaria. Sem ela, duvido que estaria vivo. Sem o grupo, poucos alcoólicos se recuperariam.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 129"
2025-02-01,pt-BR,OBJETIVO: SANIDADE,"'... O Segundo Passo, suave e muito gradualmente, começou a se infiltrar em minha vida. Não posso dizer em que ocasião ou em que dia passei a acreditar em um Poder superior a mim mesmo, mas certamente tenho essa crença agora.'","'Passei a acreditar!' Eu falava da boca para fora sobre minha crença quando me dava vontade ou quando achava que pegaria bem. Eu não confiava realmente em Deus. Não acreditava que Ele se importava comigo. Continuei tentando mudar coisas que não podia mudar. Gradualmente, com nojo, comecei a entregar tudo, dizendo: 'Você é tão onipotente, cuide disso.' Ele cuidou. Comecei a receber respostas para os meus problemas mais profundos, às vezes nos momentos mais inusitados: dirigindo para o trabalho, almoçando ou quando estava dormindo profundamente. Percebi que não tinha pensado naquelas soluções — um Poder superior a mim mesmo as tinha me dado. Passei a acreditar.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 27"
2025-02-02,pt-BR,RESGATADO PELA RENDIÇÃO,"Característico do chamado alcoólico típico é um núcleo egocêntrico narcisista, dominado por sentimentos de onipotência, com a intenção de manter a todo custo sua integridade interior... Interiormente, o alcoólico não tolera controle do homem ou de Deus. Ele, o alcoólico, é e deve ser o mestre de seu destino. Ele lutará até o fim para preservar essa posição.","O grande mistério é: 'Por que alguns de nós morrem de mortes alcoólicas, lutando para preservar a 'independência' de nosso ego, enquanto outros parecem ficar sóbrios sem esforço em A.A.?' A ajuda de um Poder Superior, o dom da sobriedade, veio a mim quando um desejo de parar de beber, de outra forma inexplicável, coincidiu com minha disposição de aceitar as sugestões dos homens e mulheres de A.A. Tive que me render, pois somente estendendo a mão para Deus e meus companheiros eu poderia ser resgatado.","A.A. ATINGE A MAIORIDADE, p. 311"
2025-02-03,pt-BR,PREENCHENDO O VAZIO,"Precisávamos nos fazer apenas uma breve pergunta. 'Eu agora acredito, ou estou mesmo disposto a acreditar, que existe um Poder superior a mim mesmo?' Assim que um homem pode dizer que acredita, ou está disposto a acreditar, nós enfaticamente lhe asseguramos que ele está a caminho.","Sempre fui fascinado pelo estudo de princípios científicos. Eu era emocional e fisicamente distante das pessoas enquanto buscava o Conhecimento Absoluto. Deus e a espiritualidade eram exercícios acadêmicos sem sentido. Eu era um homem moderno da ciência, o conhecimento era meu Poder Superior. Dadas as equações certas, a vida era apenas mais um problema a ser resolvido. No entanto, meu eu interior estava morrendo da solução do meu homem exterior para os problemas da vida e a solução era o álcool. Apesar da minha inteligência, o álcool se tornou meu Poder Superior. Foi através do amor incondicional que emanava das pessoas e reuniões de A.A. que pude descartar o álcool como meu Poder Superior. O grande vazio foi preenchido. Eu não estava mais sozinho e à parte da vida. Eu havia encontrado um verdadeiro poder maior que eu, eu havia encontrado o amor de Deus. Há apenas uma equação que realmente importa para mim agora: Deus está em A.A.","ALCOÓLICOS ANÔNIMOS, p. 47"
2025-02-04,pt-BR,QUANDO FALTA A FÉ,"Às vezes, A.A. é mais difícil para aqueles que perderam ou rejeitaram a fé do que para aqueles que nunca tiveram fé alguma, pois pensam que tentaram a fé e a acharam deficiente. Eles tentaram o caminho da fé e o caminho da não-fé.","Eu tinha tanta certeza de que Deus havia falhado comigo que me tornei completamente desafiador, embora soubesse que não devia, e mergulhei em uma última bebedeira. Minha fé se tornou amarga e isso não foi coincidência. Aqueles que antes tinham grande fé atingem o fundo do poço com mais força. Levei tempo para reacender minha fé, embora tenha vindo para A.A. Eu era grato intelectualmente por ter sobrevivido a uma queda tão grande, mas meu coração parecia insensível. Mesmo assim, eu me mantive no programa de A.A.; as alternativas eram muito sombrias! Continuei voltando e gradualmente minha fé foi ressuscitada.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 28"
